10.150.175.170,ce175
177.103.193.80,bk
187.4.96.137,campeao
187.40.96.38,armazem
187.95.103.141,muffatoserver
177.75.77.84,mag_shopping
187.3.53.100,radio_dia_musical
177.155.36.104,infobahia
187.3.70.160,dia9564
187.3.85.8,lab_assaM-Ci_074
187.47.100.65,CyrellaParceiro
177.159.53.186,mercantil_0801
187.95.116.151,copel
189.46.0.159,alterar_banco_dia_9186
189.46.0.159,dia_9186
189.13.141.5,alterar_extra_1330
177.139.106.36,alterar_dia_9338
177.106.110.90,alterar_banbco_dia_9360
177.17.43.83,transformacao_extra_1331
177.68.38.5,rxtra_1765
65.111.171.120,servidor_eua
187.3.53.100,radio_dia_musical
201.83.164.232,megamidiasp
177.155.36.104,infobahia
200.150.79.13,DTCOM
187.95.116.151,copel
189.123.5.107,Laboratorio
187.3.70.160,dia9564
177.99.131.172,urgerkinglab
201.88.61.129,labromera
177.40.150.229,Prezunic
201.22.172.74,ParceiroRomera
177.98.102.213,ParceiroPrezunic
187.47.100.65,CyrellaParceiro
177.9.118.216,cyrella
200.101.187.50,romera_server
189.6.204.84,center_lar_edsom
177.40.194.33,pao_1640
189.7.139.20,zaffari_34
189.69.122.188,mc_itt
189.69.122.188,mc-itt
177.92.49.198,srvvideo
177.220.178.173,revista
187.95.117.225,srvradio
201.46.33.69,dia_9560
177.98.7.248,centauro_220
